started_at,finished_at,round,round_elapsed_ms,target,count,failures,min_ms,p50_ms,p95_ms,max_ms,avg_ms,page_data_p95_ms,page_render_p95_ms,edge_mw_header_p95_ms,page_data_header_p95_ms,page_render_header_p95_ms
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Home,5,0,64.0,67.0,68.0,68.0,66.0,,,4.0,,
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Robots,5,0,38.0,42.0,124.0,124.0,58.0,,,,,
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Sitemap,5,0,38.0,40.0,64.0,64.0,45.0,,,,,
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Published Home,5,0,176.0,185.0,191.0,191.0,183.0,4.7,4.9,0.2,,
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Published About,5,0,170.0,177.0,187.0,187.0,178.0,5.0,5.1,0.1,,
2026-07-03T19:56:53.422Z,2026-07-03T19:56:58.946Z,10,5524.1,Published Contact,5,0,174.0,180.0,187.0,187.0,180.0,4.8,4.9,0.1,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Home,5,0,61.0,68.0,79.0,79.0,69.0,,,0.2,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Robots,5,0,39.0,43.0,171.0,171.0,68.0,,,,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Sitemap,5,0,38.0,40.0,41.0,41.0,40.0,,,,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Published Home,5,0,175.0,176.0,185.0,185.0,179.0,5.1,5.2,0.1,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Published About,5,0,175.0,185.0,200.0,200.0,188.0,4.9,5.0,0.5,,
2026-07-03T19:57:03.954Z,2026-07-03T19:57:09.790Z,11,5836.0,Published Contact,5,0,182.0,190.0,402.0,402.0,231.0,5.0,5.1,0.2,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Home,5,0,59.0,62.0,99.0,99.0,69.0,,,0.1,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Robots,5,0,36.0,41.0,315.0,315.0,95.0,,,,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Sitemap,5,0,37.0,38.0,41.0,41.0,39.0,,,,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Published Home,5,0,177.0,189.0,197.0,197.0,188.0,6.4,6.6,0.2,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Published About,5,0,173.0,195.0,490.0,490.0,250.0,5.0,5.1,0.1,,
2026-07-03T19:57:14.803Z,2026-07-03T19:57:21.095Z,12,6280.4,Published Contact,5,0,181.0,203.0,203.0,203.0,198.0,23.4,23.5,0.2,,
